id,kategori
1,Popcorn
2,Frozen Meat & Seafood
3,Chips
4,Beverage Deals
5,Sugars & Sweeteners
6,Spirits
7,Kids' Multi-Packs
8,Prepared Meals & Sides
9,Grilling
10,Sliced Bread
11,Orange Juice & Chilled
12,Game Time Faves
13,Salsa & Dips
14,"Biscuits, Cookies, Doughs"
15,Breakfast Meats
16,Sports Drinks
17,Tortillas
18,Pies
19,Tea
20,Meat Sticks
21,Fresh Dressings
22,Top baking brands
23,Great Value Beverages
24,Cream & Creamers
25,Beer
26,Coffee Additives
27,Canned & Powdered Milks
28,Sparkling Water
29,Frozen Desserts
30,Healthy Snacks
31,Fresh Fruits
32,Mints
33,Breakfast Beverages
34,Plant-based Protein & Tofu
35,Eggs
36,Fresh Bakery Breads
37,Beef Jerky
38,Better for you
39,Fresh Herbs
40,Gummy & chewy candy
41,Wine
42,Canned vegetables
43,Butter & Margarine
44,Flours & Meals
45,Oils & Shortening
46,Halloween candy
47,Baking Nuts & Seeds
48,Hard candy & lollipops
49,Frozen Produce
50,Frozen Potatoes
51,Pudding & Gelatin
52,Emergency & Institutional food
53,"Frozen Pizza, Pasta, & Breads"
54,New Arrivals
55,Cookies & Brownies
56,"Herbs, spices & seasonings"
57,"Bacon, Hot Dogs, Sausage"
58,Easy to make
59,Fresh Food
60,Granola Bars
61,Condiments
62,Sour Cream & Chilled Dips
63,Cut Fruits & Vegetables
64,Frozen Meals & Snacks
65,Breakfast Breads
66,Sweet Treats
67,Chocolate
68,"Hummus, Dips, & Salsa"
69,Cereal & Granola
70,Soup
71,Rolls & Buns
72,Yogurt
73,Canned goods
74,Yeast
75,Pasta & pizza
76,Multipacks & bags
77,Fresh Flowers
78,Coffee Accessories
79,Fresh Soups & Salads
80,Fruit Snacks
81,Milk
82,Cooking oils & vinegars
83,Baking Soda & Starch
84,Pretzels
85,Rotisserie Chicken
86,Roast Type
87,Cakes & Cupcakes
88,Packaged meals & side dishes
89,Coffee By Type
90,Dairy & Eggs
91,Fresh Pasta
92,Variety Pack Snacks
93,"Rice, grains & dried beans"
94,Gum
95,Deli Meat & Cheese
96,Non-Alcoholic Mixers
97,Muffins & Pastries
98,Drink Mixes
99,Juices
100,Specialty Cheeses & Meats
101,Snacks & Fresh Sandwiches
102,Energy Drinks
103,Salad Kits & Bowls
104,Snack Nuts
105,Frozen Breakfast
106,Fresh Pizza
107,Cheese
108,"Pancakes, Waffles & Syrups"
109,Crackers
110,Organic Produce
111,Fresh Vegetables
112,International foods
113,Hot Cereals
114,"Donuts, Muffins & Pastries"
